#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,DLN,06L,DIN 6mm,DIN 6mm,-,S316,Нержавеющая сталь (316-я)
,,08L-06S,DIN 8mm,DIN 6mm,STEL,STEL,Углеродистая сталь
,,10L-08S,DIN 10mm,DIN 8mm,BRAS,BRAS,Латунь
,,12L-10S,DIN 12mm,DIN 10mm,,,
,,12S,DIN 12mm,DIN 12mm,,,
,,15L-14S,DIN 15mm,DIN 14mm,,,
,,16S,DIN 16mm,DIN 16mm,,,
,,18L,DIN 18mm,DIN 18mm,,,
,,22L-02S,DIN 22mm,DIN 2mm,,,
,,28L-25S,DIN 28mm,DIN 25mm,,,
,,30S,DIN 30mm,DIN 30mm,,,
,,35L,DIN 35mm,DIN 35mm,,,
,,42L-38S,DIN 42mm,DIN 38mm,,,
