#,Заказной код,Размер,Параметр:Размер:Наружный диаметр трубы (D),Параметр:Размер:SAE/MS,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,CSC,3M-2U,Hy-Lok 3mm,5/16-24,-,S316,Нержавеющая сталь
,,3M-6U,Hy-Lok 3mm,9/16-18,BRAS,BRAS,Латунь
,,6M-10U,Hy-Lok 6mm,7/8-14,STEL,STEL,Углеродистая сталь
,,6M-4U,Hy-Lok 6mm,7/16-20,,,
,,6M-6U,Hy-Lok 6mm,9/16-18,,,
,,6M-8U,Hy-Lok 6mm,3/4-16,,,
,,8M-5U,Hy-Lok 8mm,1/2-20,,,
,,10M-10U,Hy-Lok 10mm,7/8-14,,,
,,10M-4U,Hy-Lok 10mm,7/16-20,,,
,,10M-6U,Hy-Lok 10mm,9/16-18,,,
,,10M-8U,Hy-Lok 10mm,3/4-16,,,
,,12M-10U,Hy-Lok 12mm,7/8-14,,,
,,12M-12U,Hy-Lok 12mm,1-1/16-12,,,
,,12M-6U,Hy-Lok 12mm,9/16-18,,,
,,12M-8U,Hy-Lok 12mm,3/4-16,,,
,,16M-10U,Hy-Lok 16mm,7/8-14,,,
,,16M-8U,Hy-Lok 16mm,3/4-16,,,
,,20M-12U,Hy-Lok 20mm,1-1/16-12,,,
,,20M-8U,Hy-Lok 20mm,3/4-16,,,
,,22M-14U,Hy-Lok 22mm,1-3/16-12,,,
,,25M-12U,Hy-Lok 25mm,1-1/16-12,,,
,,25M-16U,Hy-Lok 25mm,1-5/16-12,,,
