#,Заказной код,Размер,Параметр:Размер:Подсоединение,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,DBUW,06S,Hy-Lok 6mm,-,S316,Нержавеющая сталь (316-я)
,,08S,Hy-Lok 8mm,STEL,STEL,Углеродистая сталь
,,10S,Hy-Lok 10mm,BRAS,BRAS,Латунь
,,12S,Hy-Lok 12mm,,,
,,14S,Hy-Lok 14mm,,,
,,16S,Hy-Lok 16mm,,,
,,20S,Hy-Lok 20mm,,,
,,25S,Hy-Lok 25mm,,,
,,30S,Hy-Lok 30mm,,,
,,38S,Hy-Lok 38mm,,,
