#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,H-MFAE,1-2G,"BSPP 1/16""","BSPP 1/8""",-,S316,Нержавеющая сталь
,,1-3G,"BSPP 1/16""","BSPP 3/16""",BRAS,BRAS,Латунь
,,2-1G,"BSPP 1/8""","BSPP 1/16""",STEL,STEL,Углеродистая сталь
,,2-3G,"BSPP 1/8""","BSPP 3/16""",,,
,,2-4G,"BSPP 1/8""","BSPP 1/4""",,,
,,2-6G,"BSPP 1/8""","BSPP 3/8""",,,
,,3-2G,"BSPP 3/16""","BSPP 1/8""",,,
,,3-4G,"BSPP 3/16""","BSPP 1/4""",,,
,,3-6G,"BSPP 3/16""","BSPP 3/8""",,,
,,4-3G,"BSPP 1/4""","BSPP 3/16""",,,
,,4-6G,"BSPP 1/4""","BSPP 3/8""",,,
,,4-8G,"BSPP 1/4""","BSPP 1/2""",,,
,,4-10G,"BSPP 1/4""","BSPP 5/8""",,,
,,6-4G,"BSPP 3/8""","BSPP 1/4""",,,
,,6-8G,"BSPP 3/8""","BSPP 1/2""",,,
,,6-10G,"BSPP 3/8""","BSPP 5/8""",,,
,,6-12G,"BSPP 3/8""","BSPP 3/4""",,,
,,8-6G,"BSPP 1/2""","BSPP 3/8""",,,
,,8-10G,"BSPP 1/2""","BSPP 5/8""",,,
,,8-12G,"BSPP 1/2""","BSPP 3/4""",,,
,,10-8G,"BSPP 5/8""","BSPP 1/2""",,,
,,10-12G,"BSPP 5/8""","BSPP 3/4""",,,
,,12-8G,"BSPP 3/4""","BSPP 1/2""",,,
,,12-10G,"BSPP 3/4""","BSPP 5/8""",,,
,,16-12G,"BSPP 1""","BSPP 3/4""",,,
,,1ED-2G,"BSPP 1/16""","BSPP 1/8""",,,
,,1ED-3G,"BSPP 1/16""","BSPP 3/16""",,,
,,2ED-1G,"BSPP 1/8""","BSPP 1/16""",,,
,,2ED-3G,"BSPP 1/8""","BSPP 3/16""",,,
,,2ED-4G,"BSPP 1/8""","BSPP 1/4""",,,
,,2ED-6G,"BSPP 1/8""","BSPP 3/8""",,,
,,3ED-2G,"BSPP 3/16""","BSPP 1/8""",,,
,,3ED-4G,"BSPP 3/16""","BSPP 1/4""",,,
,,3ED-6G,"BSPP 3/16""","BSPP 3/8""",,,
,,4ED-3G,"BSPP 1/4""","BSPP 3/16""",,,
,,4ED-6G,"BSPP 1/4""","BSPP 3/8""",,,
,,4ED-8G,"BSPP 1/4""","BSPP 1/2""",,,
,,4ED-10G,"BSPP 1/4""","BSPP 5/8""",,,
,,6ED-4G,"BSPP 3/8""","BSPP 1/4""",,,
,,6ED-8G,"BSPP 3/8""","BSPP 1/2""",,,
,,6ED-10G,"BSPP 3/8""","BSPP 5/8""",,,
,,6ED-12G,"BSPP 3/8""","BSPP 3/4""",,,
,,8ED-6G,"BSPP 1/2""","BSPP 3/8""",,,
,,8ED-10G,"BSPP 1/2""","BSPP 5/8""",,,
,,8ED-12G,"BSPP 1/2""","BSPP 3/4""",,,
,,10ED-8G,"BSPP 5/8""","BSPP 1/2""",,,
,,10ED-12G,"BSPP 5/8""","BSPP 3/4""",,,
,,12ED-10G,"BSPP 3/4""","BSPP 5/8""",,,
,,16ED-12G,"BSPP 1""","BSPP 3/4""",,,
,,8G-M20,"G 1/2""",M20x1.5,,,
,,M20-8G,M20x1.5,"G 1/2""",,,
