#,Заказной код,Размер,Параметр:Размер:Наружный диаметр трубы (D),Параметр:Размер:SAE/MS,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,CSBT,6M-4U,Hy-Lok 6mm,7/16-20,-,S316,Нержавеющая сталь
,,10M-6U,Hy-Lok 10mm,9/16-18,BRAS,BRAS,Латунь
,,12M-8U,Hy-Lok 12mm,3/4-16,STEL,STEL,Углеродистая сталь
,,20M-12U,Hy-Lok 20mm,1-1/16-12,,,
,,25M-16U,Hy-Lok 25mm,1-5/16-12,,,
