#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,DMC,06L-01N,DIN 6mm,"NPT 1/8""",-,S316,Нержавеющая сталь (316-я)
,,06L-02N,DIN 6mm,"NPT 1/4""",STEL,STEL,Углеродистая сталь
,,08L-02N,DIN 8mm,"NPT 1/4""",BRAS,BRAS,Латунь
,,10L-02N,DIN 10mm,"NPT 1/4""",,,
,,10L-03N,DIN 10mm,"NPT 3/8""",,,
,,12L-02N,DIN 12mm,"NPT 1/4""",,,
,,12L-03N,DIN 12mm,"NPT 3/8""",,,
,,12L-04N,DIN 12mm,"NPT 1/2""",,,
,,15L-03N,DIN 15mm,"NPT 3/8""",,,
,,15L-04N,DIN 15mm,"NPT 1/2""",,,
,,18L-04N,DIN 18mm,"NPT 1/2""",,,
,,22L-06N,DIN 22mm,"NPT 3/4""",,,
,,28L-08N,DIN 28mm,"NPT 1""",,,
,,35L-10N,DIN 35mm,"NPT 1 1/4""",,,
,,42L-12N,DIN 42mm,"NPT 1 1/2""",,,
