#,Заказной код,Размер,Параметр:Размер:Подсоединение,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,DVSTI,M10ED,M10x1,-,S316,Нержавеющая сталь (316-я)
,,M12ED,"M12x1,5",STEL,STEL,Углеродистая сталь
,,M14ED,"M14x1,5",BRAS,BRAS,Латунь
,,M16ED,"M16x1,5",,,
,,M18ED,"M18x1,5",,,
,,M20ED,"M20x1,5",,,
,,M22ED,"M22x1,5",,,
,,M26ED,"M26x1,5",,,
,,M27ED,M27x2,,,
,,M33ED,M33x2,,,
,,M42ED,M42x2,,,
,,M48ED,M48x1,,,
