#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Параметр:Размер:Материал корпуса
,H-ZSMC,4-2N-B,"ZCR F 1/4""","ниппель 1/8""",нерж.сталь SM6L
,,4-4N-B,"ZCR F 1/4""","ниппель 1/4""",нерж.сталь SM6L
,,8-6N-B,"ZCR F 1/2""","ниппель 3/8""",нерж.сталь SM6L
,,8-8N-B,"ZCR F 1/2""","ниппель 1/2""",нерж.сталь SM6L
