#,Заказной код,Размер,Параметр:Размер:Подсоединение,Материал,Параметр:Материал:Материал
,H-ZGRT,4-N,"ZCR 1/4""",316L,316L
,,8-N,"ZCR 1/2""",NI,NI
,,12-N,"ZCR 3/4""",,
,,16-N,"ZCR 1""",,
