#;Заказной код;Параметр:Заказной код:Подсоединение;Материал;Параметр:Материал:Материал;Условное обозначение:Материал:Материал
;CNFS-1-SET;Hy-Lok 1/16;-;S316;Нержавеющая сталь
;CNFS-2-SET;Hy-Lok 1/8;BRAS;BRAS;Латунь
;CNFS-3-SET;Hy-Lok 3/16;STEL;STEL;Углеродистая сталь
;CNFS-4-SET;Hy-Lok 1/4;;;
;CNFS-5-SET;Hy-Lok 5/16;;;
;CNFS-6-SET;Hy-Lok 3/8;;;
;CNFS-8-SET;Hy-Lok 1/2;;;
;CNFS-10-SET;Hy-Lok 5/8;;;
;CNFS-12-SET;Hy-Lok 3/4;;;
;CNFS-14-SET;Hy-Lok 7/8;;;
;CNFS-16-SET;Hy-Lok 1;;;
;CNFS-20-SET;Hy-Lok 1 1/4;;;
;CNFS-24-SET;Hy-Lok 1 1/2;;;
;CNFS-32-SET;"Hy-Lok 2""";;;
