#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Материал корпуса
,H-ZMN-,2-B,"ZCR M 1/8""",нерж.сталь S316
,,4-B,"ZCR M 1/4""",нерж.сталь S316
,,8-B,"ZCR M 1/2""",нерж.сталь S316
,,12-B,"ZCR M 3/4""",нерж.сталь S316
,,16-B,"ZCR M 1""",нерж.сталь S316
