#,Заказной код,Размер,Параметр:Размер:Подсоединение,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал,Параметр:Размер:Подсоединение 2
,DAKR,1006X1.5,DIN 10mm,-,S316,Нержавеющая сталь (316-я),DIN 6mm
,,1008X2.0,DIN 10mm,STEL,STEL,Углеродистая сталь,DIN 8mm
,,1208X2.0,DIN 12mm,BRAS,BRAS,Латунь,DIN 8mm
,,1210X1.5,DIN 12mm,,,,DIN 10mm
,,1612X2.5,DIN 16mm,,,,DIN 12mm
,,2012X2.5,DIN 20mm,,,,DIN 12mm
,,2016X3.0,DIN 20mm,,,,DIN 16mm
,,2516X3.0,DIN 25mm,,,,DIN 16mm
,,2520X4.0,DIN 25mm,,,,DIN 20mm
,,3016X2.0,DIN 30mm,,,,DIN 16mm
,,3020X2.5,DIN 30mm,,,,DIN 20mm
,,3025X3.0,DIN 30mm,,,,DIN 25mm
,,3816X2.0,DIN 38mm,,,,DIN 16mm
,,3820X2.5,DIN 38mm,,,,DIN 20mm
,,3820X3.0,DIN 38mm,,,,DIN 20mm
,,3830X4.0,DIN 38mm,,,,DIN 30mm
