#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Подсоединение 2,Параметр:Заказной код:Аналог продукции,Параметр:Заказной код:Материал
,WE04LLR71,DIN 4mm,"BSPT 1/8""",DLM-04LL-01R,S316
,WE06LLR71,DIN 6mm,"BSPT 1/8""",DLM-06LL-01R,S316
,WE08LLR71,DIN 8mm,"BSPT 1/8""",DLM-08LL-01R,S316
,WE10LLR71,DIN 10mm,"BSPT 1/4""",DLM-10LL-02R,S316
,WE12LLR71,DIN 12mm,"BSPT 1/4""",DLM-12LL-02R,S316
,WE04LLRCF,DIN 18mm,"BSPT 1/8""",DLM-04LL-01R-STEL,STEL
,WE06LLRCF,DIN 22mm,"BSPT 1/8""",DLM-06LL-01R-STEL,STEL
,WE08LLRCF,DIN 28mm,"BSPT 1/8""",DLM-08LL-01R-STEL,STEL
,WE10LLRCF,DIN 35mm,"BSPT 1/4""",DLM-10LL-02R-STEL,STEL
,WE12LLRCF,DIN 42mm,"BSPT 1/4""",DLM-12LL-02R-STEL,STEL
,WE04LLRMS,DIN 25mm,"BSPT 1/8""",DLM-04LL-01R-BRAS,BRAS
,WE06LLRMS,DIN 25mm,"BSPT 1/8""",DLM-06LL-01R-BRAS,BRAS
,WE08LLRMS,DIN 25mm,"BSPT 1/8""",DLM-08LL-01R-BRAS,BRAS
,WE10LLRMS,DIN 25mm,"BSPT 1/4""",DLM-10LL-02R-BRAS,BRAS
,WE12LLRMS,DIN 30mm,"BSPT 1/4""",DLM-12LL-02R-BRAS,BRAS
,WE06LR71,DIN 6mm,"BSPT 1/8""",DLM-06L-01R,S316
,WE08LR71,DIN 8mm,"BSPT 1/4""",DLM-08L-02R,S316
,WE10LR71,DIN 10mm,"BSPT 1/4""",DLM-10L-02R,S316
,WE12LR71,DIN 12mm,"BSPT 3/8""",DLM-12L-03R,S316
,WE15LR71,DIN 15mm,"BSPT 1/2""",DLM-15L-04R,S316
,WE18LR71,DIN 18mm,"BSPT 1/2""",DLM-18L-04R,S316
,WE06LRCF,DIN 6mm,"BSPT 1/8""",DLM-06L-01R-STEL,STEL
,WE08LRCF,DIN 8mm,"BSPT 1/4""",DLM-08L-02R-STEL,STEL
,WE10LRCF,DIN 10mm,"BSPT 1/4""",DLM-10L-02R-STEL,STEL
,WE12LRCF,DIN 12mm,"BSPT 3/8""",DLM-12L-03R-STEL,STEL
,WE15LRCF,DIN 14mm,"BSPT 1/2""",DLM-15L-04R-STEL,STEL
,WE18LRCF,DIN 16mm,"BSPT 1/2""",DLM-18L-04R-STEL,STEL
,WE06LRMS,DIN 30mm,"BSPT 1/8""",DLM-06L-01R-BRAS,BRAS
,WE08LRMS,DIN 30mm,"BSPT 1/4""",DLM-08L-02R-BRAS,BRAS
,WE10LRMS,DIN 30mm,"BSPT 1/4""",DLM-10L-02R-BRAS,BRAS
,WE12LRMS,DIN 30mm,"BSPT 3/8""",DLM-12L-03R-BRAS,BRAS
,WE15LRMS,DIN 30mm,"BSPT 1/2""",DLM-15L-04R-BRAS,BRAS
,WE18LRMS,DIN 30mm,"BSPT 1/2""",DLM-18L-04R-BRAS,BRAS
,WE06SR71,DIN 6mm,"BSPT 1/4""",DLM-06S-02R,S316
,WE08SR71,DIN 8mm,"BSPT 1/4""",DLM-08S-02R,S316
,WE10SR71,DIN 10mm,"BSPT 3/8""",DLM-10S-03R,S316
,WE12SR71,DIN 12mm,"BSPT 3/8""",DLM-12S-03R,S316
,WE14SR71,DIN 14mm,"BSPT 1/2""",DLM-14S-04R,S316
,WE16SR71,DIN 16mm,"BSPT 1/2""",DLM-16S-04R,S316
,WE06SRCF,DIN 20mm,"BSPT 1/4""",DLM-06S-02R-STEL,STEL
,WE08SRCF,DIN 25mm,"BSPT 1/4""",DLM-08S-02R-STEL,STEL
,WE10SRCF,DIN 30mm,"BSPT 3/8""",DLM-10S-03R-STEL,STEL
,WE12SRCF,DIN 38mm,"BSPT 3/8""",DLM-12S-03R-STEL,STEL
,WE14SRCF,DIN 6mm,"BSPT 1/2""",DLM-14S-04R-STEL,STEL
,WE16SRCF,DIN 8mm,"BSPT 1/2""",DLM-16S-04R-STEL,STEL
,WE06SRMS,DIN 30mm,"BSPT 1/4""",DLM-06S-02R-BRAS,BRAS
,WE08SRMS,DIN 38mm,"BSPT 1/4""",DLM-08S-02R-BRAS,BRAS
,WE10SRMS,DIN 38mm,"BSPT 3/8""",DLM-10S-03R-BRAS,BRAS
,WE12SRMS,DIN 38mm,"BSPT 3/8""",DLM-12S-03R-BRAS,BRAS
,WE14SRMS,DIN 38mm,"BSPT 1/2""",DLM-14S-04R-BRAS,BRAS
,WE16SRMS ,DIN 38mm,"BSPT 1/2""",DLM-16S-04R-BRAS,BRAS
