#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,DMC,06S-02N,DIN 6mm,"NPT 1/4""",-,S316,Нержавеющая сталь (316-я)
,,06S-03N,DIN 6mm,"NPT 3/8""",STEL,STEL,Углеродистая сталь
,,06S-04N,DIN 6mm,"NPT 1/2""",BRAS,BRAS,Латунь
,,08S-02N,DIN 8mm,"NPT 1/4""",,,
,,08S-03N,DIN 8mm,"NPT 3/8""",,,
,,08S-04N,DIN 8mm,"NPT 1/2""",,,
,,10S-02N,DIN 10mm,"NPT 1/4""",,,
,,10S-03N,DIN 10mm,"NPT 3/8""",,,
,,10S-04N,DIN 10mm,"NPT 1/2""",,,
,,12S-02N,DIN 12mm,"NPT 1/4""",,,
,,12S-03N,DIN 12mm,"NPT 3/8""",,,
,,12S-04N,DIN 12mm,"NPT 1/2""",,,
,,14S-02N,DIN 14mm,"NPT 1/4""",,,
,,14S-03N,DIN 14mm,"NPT 3/8""",,,
,,14S-04N,DIN 14mm,"NPT 1/2""",,,
,,16S-04N,DIN 16mm,"NPT 1/2""",,,
,,20S-06N,DIN 20mm,"NPT 3/4""",,,
,,25S-08N,DIN 25mm,"NPT 1""",,,
,,30S-06N,DIN 30mm,"NPT 3/4""",,,
,,30S-08N,DIN 30mm,"NPT 1""",,,
,,30S-10N,DIN 30mm,"NPT 1 1/4""",,,
,,38S-12N,DIN 38mm,"NPT 1 1/2""",,,
