#,Заказной код,Размер,Параметр:Размер:D,Параметр:Размер:Под приварку,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,CSWC,3M-2,Hy-Lok 3mm,"1/8""",-,S316,Нержавеющая сталь
,,6M-4,Hy-Lok 6mm,"1/4""",BRAS,BRAS,Латунь
,,10M-6,Hy-Lok 10mm,"3/8""",STEL,STEL,Углеродистая сталь
,,12M-8,Hy-Lok 12mm,"1/2""",,,
,,20M-12,Hy-Lok 20mm,"3/4""",,,
,,25M-16,Hy-Lok 25mm,"1""",,,
