#;Заказной код;Размер;Параметр:Размер:Наружный диаметр трубы (D);Условное обозначение:Размер:Наружный диаметр трубы (D);Параметр:Размер:Резьба на фитинге;Параметр:Размер:A;Параметр:Размер:B;Параметр:Размер:d Min.;Параметр:Размер:Под ключ;Материал;Параметр:Материал:Материал;Условное обозначение:Материал:Материал;Параметр:Материал:Минимальная температура;Параметр:Материал:Максимальная температура
;CUA;1;Hy-Lok 1/16;Наружный диаметр трубы;10-32UNF;"""8.63""";"""10.92""";"""1.27""";"""7.90""";-;S316;Нержавеющая сталь;"""-196°C""";"""+649°C"""
;;2;Hy-Lok 1/8;Наружный диаметр трубы;5/16-20UN;"""12.70""";"""15.24""";"""2.28""";"""11.10""";BRAS;BRAS;Латунь;"""-54°C""";"""+204°C"""
;;3;Hy-Lok 3/16;Наружный диаметр трубы;3/8-20UN;"""13.70""";"""16.00""";"""3.04""";"""12.70""";STEL;STEL;Углеродистая сталь;;
;;4;Hy-Lok 1/4;Наружный диаметр трубы;7/16-20UNF;"""15.24""";"""17.78""";"""4.82""";"""14.20""";;;;;
;;5;Hy-Lok 5/16;Наружный диаметр трубы;1/2-20UNF;"""16.25""";"""18.54""";"""6.35""";"""15.80""";;;;;
;;6;Hy-Lok 3/8;Наружный диаметр трубы;9/16-20UN;"""16.76""";"""19.30""";"""7.11""";"""17.40""";;;;;
;;8;Hy-Lok 1/2;Наружный диаметр трубы;3/4-20UNEF;"""22.86""";"""21.84""";"""10.41""";"""22.20""";;;;;
;;10;Hy-Lok 5/8;Наружный диаметр трубы;7/8-20UNEF;"""24.38""";"""21.84""";"""12.70""";"""25.40""";;;;;
;;12;Hy-Lok 3/4;Наружный диаметр трубы;1-20UNEF;"""24.38""";"""21.84""";"""15.74""";"""28.60""";;;;;
;;14;Hy-Lok 7/8;Наружный диаметр трубы;1 1/8-20UN;"""25.90""";"""21.84""";"""18.28""";"""31.80""";;;;;
;;16;Hy-Lok 1;Наружный диаметр трубы;1 5/16-20UN;"""31.24""";"""26.61""";"""22.35""";"""38.10""";;;;;
;;20;Hy-Lok 1 1/4;Наружный диаметр трубы;1 5/8-20UN;"""41.14""";"""38.86""";"""27.68""";"""47.62""";;;;;
;;24;Hy-Lok 1 1/2;Наружный диаметр трубы;1 15/16-20UN;"""50.03""";"""45.21""";"""34.03""";"""57.15""";;;;;
;;32;Hy-Lok 2;Наружный диаметр трубы;2 5/8-20UN;"""67.73""";"""62.73""";"""45.97""";"""76.20""";;;;;
