#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,DMC,06L-01GED,DIN 6mm,"BSPP 1/8""",-,S316,Нержавеющая сталь (316-я)
,,06L-02GED,DIN 6mm,"BSPP 1/4""",STEL,STEL,Углеродистая сталь
,,08L-01GED,DIN 8mm,"BSPP 1/8""",BRAS,BRAS,Латунь
,,08L-02GED,DIN 8mm,"BSPP 1/4""",,,
,,08L-03GED,DIN 8mm,"BSPP 3/8""",,,
,,10L-02GED,DIN 10mm,"BSPP 1/4""",,,
,,10L-03GED,DIN 10mm,"BSPP 3/8""",,,
,,10L-04GED,DIN 10mm,"BSPP 1/2""",,,
,,12L-02GED,DIN 12mm,"BSPP 1/4""",,,
,,12L-03GED,DIN 12mm,"BSPP 3/8""",,,
,,12L-04GED,DIN 12mm,"BSPP 1/2""",,,
,,15L-03GED,DIN 15mm,"BSPP 3/4""",,,
,,15L-04GED,DIN 15mm,"BSPP 1/2""",,,
,,18L-04GED,DIN 18mm,"BSPP 1/2""",,,
,,18L-06GED,DIN 18mm,"BSPP 3/4""",,,
,,22L-06GED,DIN 22mm,"BSPP 3/4""",,,
,,28L-08GED,DIN 28mm,"BSPP 1""",,,
,,35L-10GED,DIN 35mm,"BSPP 1 1/4""",,,
,,42L-12GED,DIN 42mm,"BSPP 1 1/2""",,,
