#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,DOM,08S-04U,DIN 8mm,"UNF 4""",-,S316,Нержавеющая сталь (316-я)
,,10S-06U,DIN 10mm,"UNF 6""",STEL,STEL,Углеродистая сталь
,,12S-06U,DIN 12mm,"UNF 6""",BRAS,BRAS,Латунь
,,12S-08U,DIN 12mm,"UNF 8""",,,
,,16S-08U,DIN 16mm,"UNF 8""",,,
,,16S-10U,DIN 16mm,"UNF 10""",,,
,,20S-08U,DIN 20mm,"UNF 8""",,,
,,20S-10U,DIN 20mm,"UNF 10""",,,
,,20S-12U,DIN 20mm,"UNF 12""",,,
,,25S-12U,DIN 25mm,"UNF 12""",,,
,,25S-16U,DIN 25mm,"UNF 16""",,,
,,30S-16U,DIN 30mm,"UNF 30""",,,
,,30S-20U,DIN 30mm,"UNF 30""",,,
,,38S-20U,DIN 38mm,"UNF 38""",,,
