#,Заказной код,Наруж. диаметр трубы (D),Параметр:Наруж. диаметр трубы (D):Наруж. диаметр трубы (D),Параметр:Наруж. диаметр трубы (D):Наруж. диаметр трубы (D1),Условное обозначение:Наруж. диаметр трубы (D):Наруж. диаметр трубы (D),Условное обозначение:Наруж. диаметр трубы (D):Наруж. диаметр трубы (D1),Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,CUR,3M-1,Hy-Lok 3mm,Hy-Lok 1/16,Подсоединение,Подсоединение,-,S316,Нержавеющая сталь
,,3M-2,Hy-Lok 3mm,Hy-Lok 1/8,Подсоединение,Подсоединение,BRAS,BRAS,Латунь
,,3M-4,Hy-Lok 3mm,Hy-Lok 1/4,Подсоединение,Подсоединение,STEL,STEL,Углеродистая сталь
,,6M-1,Hy-Lok 6mm,Hy-Lok 1/16,Подсоединение,Подсоединение,,,
,,6M-2,Hy-Lok 6mm,Hy-Lok 1/8,Подсоединение,Подсоединение,,,
,,6M-4,Hy-Lok 6mm,Hy-Lok 1/4,Подсоединение,Подсоединение,,,
,,6M-6,Hy-Lok 6mm,Hy-Lok 3/8,Подсоединение,Подсоединение,,,
,,6M-8,Hy-Lok 6mm,Hy-Lok 1/2,Подсоединение,Подсоединение,,,
,,8M-2,Hy-Lok 8mm,Hy-Lok 1/8,Подсоединение,Подсоединение,,,
,,8M-4,Hy-Lok 8mm,Hy-Lok 1/4,Подсоединение,Подсоединение,,,
,,8M-6,Hy-Lok 8mm,Hy-Lok 3/8,Подсоединение,Подсоединение,,,
,,8M-8,Hy-Lok 8mm,Hy-Lok 1/2,Подсоединение,Подсоединение,,,
,,8M-10,Hy-Lok 8mm,Hy-Lok 5/8,Подсоединение,Подсоединение,,,
,,10M-2,Hy-Lok 10mm,Hy-Lok 1/8,Подсоединение,Подсоединение,,,
,,10M-4,Hy-Lok 10mm,Hy-Lok 1/4,Подсоединение,Подсоединение,,,
,,10M-6,Hy-Lok 10mm,Hy-Lok 3/8,Подсоединение,Подсоединение,,,
,,10M-8,Hy-Lok 10mm,Hy-Lok 1/2,Подсоединение,Подсоединение,,,
,,12M-4,Hy-Lok 12mm,Hy-Lok 1/4,Подсоединение,Подсоединение,,,
,,12M-6,Hy-Lok 12mm,Hy-Lok 3/8,Подсоединение,Подсоединение,,,
,,12M-8,Hy-Lok 12mm,Hy-Lok 1/2,Подсоединение,Подсоединение,,,
,,12M-12,Hy-Lok 12mm,Hy-Lok 3/4,Подсоединение,Подсоединение,,,
,,20M-16,Hy-Lok 20mm,Hy-Lok 1,Подсоединение,Подсоединение,,,
,,25M-16,Hy-Lok 25mm,Hy-Lok 1,Подсоединение,Подсоединение,,,
