#,Заказной код,Размер,Параметр:Размер:Подсоединение,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,H-SSA,4G,"G 1/4""",-,S316,Нержавеющая сталь
,,16G,"G 1""",STEL,STEL,Углеродистая сталь
,,4NG,"NPT 1/4""",BRAS,BRAS,Латунь
,,8NG,"NPT 1/2""",,,
