#,Заказной код,Параметр:Заказной код:Размер,Параметр:Заказной код:Аналог,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,CUA-2M,Hy-Lok 2mm,"SU-2M, SS-2M0-6, SS-2MO-6, SCM2-316, 762L SS 2MM",-,S316,Нержавеющая сталь
,CUA-3M,Hy-Lok 3mm,"SU-3M, SS-3M0-6, SS-3MO-6, SCM3-316, 762L SS 3MM",STEL,STEL,Углеродистая сталь
,CUA-4M,Hy-Lok 4mm,"SU-4M, SS-4M0-6, SS-4MO-6, SCM4-316, 762L SS 4MM",BRAS,BRAS,Латунь
,CUA-6M,Hy-Lok 6mm,"SU-6M, SS-6M0-6, SS-6MO-6, SCM6-316, 762L SS 6MM",,,
,CUA-8M,Hy-Lok 8mm,"SU-8M, SS-8M0-6, SS-8MO-6, SCM8-316, 762L SS 8MM",,,
,CUA-10M,Hy-Lok 10mm,"SU-10M, SS-10M0-6, SS-10MO-6, SCM10-316, 762L SS 10MM",,,
,CUA-12M,Hy-Lok 12mm,"SU-12M, SS-12M0-6, SS-12MO-6, SCM12-316, 762L SS 12MM",,,
,CUA-14M,Hy-Lok 14mm,"SU-14M, SS-14M0-6, SS-14MO-6, SCM14-316, 762L SS 14MM",,,
,CUA-15M,Hy-Lok 15mm,"SU-15M, SS-15M0-6, SS-15MO-6, SCM15-316, 762L SS 15MM",,,
,CUA-16M,Hy-Lok 16mm,"SU-16M, SS-16M0-6, SS-16MO-6, SCM16-316, 762L SS 16MM",,,
,CUA-18M,Hy-Lok 18mm,"SU-18M, SS-18M0-6, SS-18MO-6, SCM18-316, 762L SS 18MM",,,
,CUA-20M,Hy-Lok 20mm,"SU-20M, SS-20M0-6, SS-20MO-6, SCM20-316, 762L SS 20MM",,,
,CUA-22M,Hy-Lok 22mm,"SU-22M, SS-22M0-6, SS-22MO-6, SCM22-316, 762L SS 22MM",,,
,CUA-25M,Hy-Lok 25mm,"SU-25M, SS-25M0-6, SS-25MO-6, SCM25-316, 762L SS 25MM",,,
,CUA-38M,Hy-Lok 38mm,"SU-38M, SS-38M0-6, SS-38MO-6, SCM38-316, 762L SS 38MM",,,
