#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Материал корпуса
,H-ZFN,2-B,"ZCR F 1/8""",нерж.сталь S316
,,4-B,"ZCR F 1/4""",нерж.сталь S316
,,8-B,"ZCR F 1/2""",нерж.сталь S316
,,12-B,"ZCR F 3/4""",нерж.сталь S316
,,16-B,"ZCR F 1""",нерж.сталь S316
