#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,DKA,01G,"PF 1/8""","PF 1/8""",-,S316,Нержавеющая сталь (316-я)
,,02G,"PF 1/4""","PF 1/4""",STEL,STEL,Углеродистая сталь
,,03G,"PF 3/8""","PF 3/8""",BRAS,BRAS,Латунь
,,04G,"PF 1/2""","PF 1/2""",,,
,,06G,"PF 3/4""","PF 3/4""",,,
,,08G,"PF 1""","PF 1""",,,
,,10GM14,"BSPP 1 1/4""",M42x2,,,
,,12GM48,"BSPP 1 1/2""",M48x2,,,
