#,Заказной код,Размер,Параметр:Размер:Наружный диаметр трубы (D),Параметр:Размер:SAE/MS,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,CSC,2-2U,"Hy-Lok 1/8""",5/16-24,-,S316,Нержавеющая сталь
,,2-6U,"Hy-Lok 1/8""",9/16-18,BRAS,BRAS,Латунь
,,4-10U,"Hy-Lok 1/4""",7/8-14,STEL,STEL,Углеродистая сталь
,,4-4U,"Hy-Lok 1/4""",7/16-20,,,
,,4-6U,"Hy-Lok 1/4""",9/16-18,,,
,,4-8U,"Hy-Lok 1/4""",3/4-16,,,
,,5-5U,"Hy-Lok 5/16""",1/2-20,,,
,,6-10U,"Hy-Lok 3/8""",7/8-14,,,
,,6-4U,"Hy-Lok 3/8""",7/16-20,,,
,,6-6U,"Hy-Lok 3/8""",9/16-18,,,
,,6-8U,"Hy-Lok 3/8""",3/4-16,,,
,,8-10U,"Hy-Lok 1/2""",7/8-14,,,
,,8-12U,"Hy-Lok 1/2""",1-1/16-12,,,
,,8-4U,"Hy-Lok 1/2""",7/16-20,,,
,,8-8U,"Hy-Lok 1/2""",3/4-16,,,
,,10-10U,"Hy-Lok 5/8""",7/8-14,,,
,,10-8U,"Hy-Lok 5/8""",3/4-16,,,
,,12-12U,"Hy-Lok 3/4""",1-1/16-12,,,
,,12-8U,"Hy-Lok 3/4""",3/4-16,,,
,,14-14U,"Hy-Lok 7/8""",1-3/16-12,,,
,,16-12U,"Hy-Lok 1""",1-1/16-12,,,
,,16-16U,"Hy-Lok 1""",1-5/16-12,,,
