#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,H-SNR,8-2R,"RT 1/2""","RT 1/8""",-,S316,Нержавеющая сталь
,,,,,STEL,STEL,Углеродистая сталь
,,,,,BRAS,BRAS,Латунь
