#;Заказной код;Размер;Параметр:Размер:Вход;Параметр:Размер:Выход;Параметр:Размер:Давление;Параметр:Размер:Минимальная температура;Параметр:Размер:Минимальная температура;Параметр:Размер:Уплотнение
;VNZ-MF;4G-BR;BSPP 1/4;BSPP 1/4;400 бар;-25°С;240°С;FKM
;;4N-BR;NPT 1/4;NPT 1/4;400 бар;-25°С;240°С;FKM
;;8G-BR;BSPP 1/2;BSPP 1/2;400 бар;-25°С;240°С;FKM 
;;8N-BR;NPT 1/2;NPT 1/2;400 бар;-25°С;240°С;FKM
;;M12-BR;M12x1.5;M12x1.5;400 бар;-25°С;240°С;FKM
;;M20-BR;M20x1.5;M20x1.5;400 бар;-25°С;240°С;FKM
