#;Заказной код;Размер;Параметр:Размер:Наружный диаметр трубы (D);Условное обозначение:Размер:Наружный диаметр трубы (D);Параметр:Размер:d Min.;Материал;Параметр:Материал:Материал;Условное обозначение:Материал:Материал
;CLA;1;Hy-Lok 1/16;Наружный диаметр трубы;"""1.27""";-;S316;Нержавеющая сталь
;;2;Hy-Lok 1/8;Наружный диаметр трубы;"""2.28""";BRAS;BRAS;Латунь
;;3;Hy-Lok 3/16;Наружный диаметр трубы;"""3.04""";STEL;STEL;Углеродистая сталь
;;4;Hy-Lok 1/4;Наружный диаметр трубы;"""4.82""";;;
;;5;Hy-Lok 5/16;Наружный диаметр трубы;"""6.35""";;;
;;6;Hy-Lok 3/8;Наружный диаметр трубы;"""7.11""";;;
;;8;Hy-Lok 1/2;Наружный диаметр трубы;"""10.41""";;;
;;10;Hy-Lok 5/8;Наружный диаметр трубы;"""12.70""";;;
;;12;Hy-Lok 3/4;Наружный диаметр трубы;"""15.74""";;;
;;14;Hy-Lok 7/8;Наружный диаметр трубы;"""18.28""";;;
;;16;Hy-Lok 1;Наружный диаметр трубы;"""22.35""";;;
;;20;Hy-Lok 1 1/4;Наружный диаметр трубы;"""27.68""";;;
;;24;Hy-Lok 1 1/2;Наружный диаметр трубы;"""34.03""";;;
;;32;Hy-Lok 2;Наружный диаметр трубы;"""45.97""";;;
