#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Параметр:Размер:Материал корпуса
,H-MCA,6-4-B,"патрубок 3/8""","1/4""",нерж.сталь VV6L
,,8-4-B,"патрубок 1/2""","1/4""",нерж.сталь VV6L
,,8-6-B,"патрубок 1/2""","3/8""",нерж.сталь VV6L
