#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Под приварку,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,SNWG,12M,M20x1.5 внутр.,12x1.5mm,-,S316,Нержавеющая сталь
,,14M,M20x1.5 внутр.,14x2mm,STEL,STEL,Углеродистая сталь
,,,,,BRAS,BRAS,Латунь
