#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,DSWVE,06S-M12,DIN 6mm,M12x1.5,-,S316,Нержавеющая сталь (316-я)
,,08S-M14,DIN 8mm,M14x1.5,STEL,STEL,Углеродистая сталь
,,10S-M16,DIN 10mm,M16x1.5,BRAS,BRAS,Латунь
,,12S-M18,DIN 12mm,M18x1.5,,,
,,14S-M20,DIN 14mm,M20x1.5,,,
,,16S-M22,DIN 16mm,M22x1.5,,,
,,20S-M27,DIN 20mm,M27x2,,,
