#,Заказной код,Размер,Параметр:Размер:Ниппель,Параметр:Размер:Под приварку ,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,SAPW,4T-4P,"1/4""","1/4""",-,S316,Нержавеющая сталь
,,6T-8P,"3/8""","1/2""",BRAS,BRAS,Латунь
,,8T-8P,"1/2""","1/2""",STEL,STEL,Углеродистая сталь
,,8T-12P,"1/2""","3/4""",,,
,,12T-12P,"3/4""","3/4""",,,
,,6M-4P,6mm,"1/4""",,,
,,6M-8MX2T,6mm,8mm,,,
,,6M-10MX2T,6mm,10mm,,,
,,6M-12MX2T,6mm,12mm,,,
,,6M-14MX2T,6mm,14mm,,,
,,8M-4P,8mm,"1/4""",,,
,,8M-10MX2T,8mm,10mm,,,
,,8M-12MX2T,8mm,12mm,,,
,,8M-14MX2T,8mm,14mm,,,
,,10M-4P,10mm,"1/4""",,,
,,10M-8M,10mm,8mm,,,
,,10M-10MX2T,10mm,10mm,,,
,,10M-12MX2T,10mm,12mm,,,
,,10M-14MX2T,10mm,14mm,,,
,,12M-8P,12mm,"1/2""",,,
,,12M-8MX2T,12mm,8mm,,,
,,12M-10MX2T,12mm,10mm,,,
,,12M-12MX2T,12mm,12mm,,,
,,12M-14MX2T,12mm,14mm,,,
,,14M-8P,14mm,"1/2""",,,
,,16M-8P,16mm,"1/2""",,,
,,18M-8P,18mm,"1/2""",,,
