#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Материал,Параметр:Заказной код:Аналог продукции,,,,
,VKAM06L71,DIN 6mm,S316,DVKA-06L/S,,,,
,VKAM08L71,DIN 8mm,S316,DVKA-08L/S,,,,
,VKAM10L71,DIN 10mm,S316,DVKA-10L/S,,,,
,VKAM12L71,DIN 12mm,S316,DVKA-12L/S,,,,
,VKAM15L71,DIN 15mm,S316,DVKA-15L,,,,
,VKAM18L71,DIN 18mm,S316,DVKA-18L,,,,
,VKAM22L71,DIN 22mm,S316,DVKA-22L,,,,
,VKAM28L71,DIN 28mm,S316,DVKA-28L,,,,
,VKAM35L71,DIN 35mm,S316,DVKA-35L,,,,
,VKAM42L71,DIN 42mm,S316,DVKA-42L,,,,
,VKAM06LCF,DIN 6mm,STEL,DVKA-06L/S-STEL,,,,
,VKAM08LCF,DIN 8mm,STEL,DVKA-08L/S-STEL,,,,
,VKAM10LCF,DIN 10mm,STEL,DVKA-10L/S-STEL,,,,
,VKAM12LCF,DIN 12mm,STEL,DVKA-12L/S-STEL,,,,
,VKAM15LCF,DIN 15mm,STEL,DVKA-15L-STEL,,,,
,VKAM18LCF,DIN 18mm,STEL,DVKA-18L-STEL,,,,
,VKAM22LCF,DIN 22mm,STEL,DVKA-22L-STEL,,,,
,VKAM28LCF,DIN 28mm,STEL,DVKA-28L-STEL,,,,
,VKAM35LCF,DIN 35mm,STEL,DVKA-35L-STEL,,,,
,VKAM42LCF,DIN 42mm,STEL,DVKA-42L-STEL,,,,
,VKAM06LMS,DIN 6mm,BRAS,DVKA-06L/S-BRAS,,,,
,VKAM08LMS,DIN 8mm,BRAS,DVKA-08L/S-BRAS,,,,
,VKAM10LMS,DIN 10mm,BRAS,DVKA-10L/S-BRAS,,,,
,VKAM12LMS,DIN 12mm,BRAS,DVKA-12L/S-BRAS,,,,
,VKAM15LMS,DIN 15mm,BRAS,DVKA-15L-BRAS,,,,
,VKAM18LMS,DIN 18mm,BRAS,DVKA-18L-BRAS,,,,
,VKAM22LMS,DIN 22mm,BRAS,DVKA-22L-BRAS,,,,
,VKAM28LMS,DIN 28mm,BRAS,DVKA-28L-BRAS,,,,
,VKAM35LMS,DIN 35mm,BRAS,DVKA-35L-BRAS,,,,
,VKAM42LMS,DIN 42mm,BRAS,DVKA-42L-BRAS,,,,
,VKAM14S71,DIN 14mm,S316,DVKA-14S,,,,
,VKAM16S71,DIN 16mm,S316,DVKA-16S,,,,
,VKAM20S71,DIN 20mm,S316,DVKA-20S,,,,
,VKAM25S71,DIN 25mm,S316,DVKA-25S,,,,
,VKAM30S71,DIN 30mm,S316,DVKA-30S,,,,
,VKAM38S71,DIN 38mm,S316,DVKA-38S,,,,
,VKAM14SCF,DIN 14mm,STEL,DVKA-14S-STEL,,,,
,VKAM16SCF,DIN 16mm,STEL,DVKA-16S-STEL,,,,
,VKAM20SCF,DIN 20mm,STEL,DVKA-20S-STEL,,,,
,VKAM25SCF,DIN 25mm,STEL,DVKA-25S-STEL,,,,
,VKAM30SCF,DIN 30mm,STEL,DVKA-30S-STEL,,,,
,VKAM38SCF,DIN 38mm,STEL,DVKA-38S-STEL,,,,
,VKAM14SMS,DIN 14mm,BRAS,DVKA-14S-BRAS,,,,
,VKAM16SMS,DIN 16mm,BRAS,DVKA-16S-BRAS,,,,
,VKAM20SMS,DIN 20mm,BRAS,DVKA-20S-BRAS,,,,
,VKAM25SMS,DIN 25mm,BRAS,DVKA-25S-BRAS,,,,
,VKAM30SMS,DIN 30mm,BRAS,DVKA-30S-BRAS,,,,
,VKAM38SMS,DIN 38mm,BRAS,DVKA-38S-BRAS,,,,
