#,Заказной код,Размер,Параметр:Размер:Подсоединение,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,Q,1DSH-3M,Hy-Lok 3mm,-,S316,Нержавеющая сталь
,,1DSH-6M,Hy-Lok 6mm,STEL,STEL,Углеродистая сталь
,,1DSH-8M,Hy-Lok 8mm,BRAS,BRAS,Латунь
,,1DSH-10M,Hy-Lok 10mm,,,
,,2DSH-12M,Hy-Lok 12mm,,,
,,3DSH-2T,"Hy-Lok 1/8""",,,
,,1DSH-4T,"Hy-Lok 1/4""",,,
,,2DSH-6T,"Hy-Lok 3/8""",,,
,,3DSH-8T,"Hy-Lok 1/2""",,,
