#,Заказной код,Размер,Параметр:Размер:Наружный диаметр трубы (D),Параметр:Размер:D1,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,COP,3M-2,Hy-Lok 3mm,"NPT 1/8""",-,S316,Нержавеющая сталь
,,6M-2,Hy-Lok 6mm,"NPT 1/8""",BRAS,BRAS,Латунь
,,6M-4,Hy-Lok 6mm,"NPT 1/4""",STEL,STEL,Углеродистая сталь
,,10M-4,Hy-Lok 10mm,"NPT 1/4""",,,
,,10M-6,Hy-Lok 10mm,"NPT 3/8""",,,
,,10M-8,Hy-Lok 10mm,"NPT 1/2""",,,
,,12M-8,Hy-Lok 12mm,"NPT 1/2""",,,
