#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,H-SWRM,4P-4T,"патрубок Ду 1/4""","1/4""",-,S316,Нержавеющая сталь
,,6P-6T,"патрубок Ду 3/8""","3/8""",STEL,STEL,Углеродистая сталь
,,6P-8T,"патрубок Ду 3/8""","1/2""",BRAS,BRAS,Латунь
,,8P-4T,"патрубок Ду 1/2""","1/4""",,,
,,8P-6T,"патрубок Ду 1/2""","3/8""",,,
,,8P-8T,"патрубок Ду 1/2""","1/2""",,,
,,12P-6T,"патрубок Ду 3/4""","3/8""",,,
,,12P-8T,"патрубок Ду 3/4""","1/2""",,,
,,12P-12T,"патрубок Ду 3/4""","3/4""",,,
,,16P-6T,"патрубок Ду 1""","3/8""",,,
,,16P-8T,"патрубок Ду 1""","1/2""",,,
,,4T-2T,"патрубок Ду 1/4""","1/8""",,,
,,6T-4T,"патрубок Ду 3/8""","1/4""",,,
,,8T-4T,"патрубок Ду 1/2""","1/4""",,,
,,8T-6T,"патрубок Ду 1/2""","3/8""",,,
,,12T-8T,"патрубок Ду 3/4""","1/2""",,,
,,16T-8T,"патрубок Ду 1""","1/2""",,,
,,16T-12T,"патрубок Ду 1""","3/4""",,,
,,,,,,,
,,,,,,,
,,,,,,,
