#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,DRED,08L-06L,Hy-Lok 8mm,Hy-Lok 6mm,-,S316,Нержавеющая сталь (316-я)
,,10L-06S,Hy-Lok 10mm,Hy-Lok 6mm,STEL,STEL,Углеродистая сталь
,,10L-06L,Hy-Lok 10mm,Hy-Lok 6mm,BRAS,BRAS,Латунь
,,10L-08L,Hy-Lok 10mm,Hy-Lok 8mm,,,
,,12L-06L,Hy-Lok 12mm,Hy-Lok 6mm,,,
,,12L-08L,Hy-Lok 12mm,Hy-Lok 8mm,,,
,,12L-10L,Hy-Lok 12mm,Hy-Lok 10mm,,,
,,15L-06L,Hy-Lok 15mm,Hy-Lok 6mm,,,
,,15L-08L,Hy-Lok 15mm,Hy-Lok 8mm,,,
,,15L-10L,Hy-Lok 15mm,Hy-Lok 10mm,,,
,,15L-12L,Hy-Lok 15mm,Hy-Lok 12mm,,,
,,18L-06L,Hy-Lok 18mm,Hy-Lok 6mm,,,
,,18L-08L,Hy-Lok 18mm,Hy-Lok 8mm,,,
,,18L-10L,Hy-Lok 18mm,Hy-Lok 10mm,,,
,,18L-12L,Hy-Lok 18mm,Hy-Lok 12mm,,,
,,18L-15L,Hy-Lok 18mm,Hy-Lok 15mm,,,
,,22L-06L,Hy-Lok 22mm,Hy-Lok 6mm,,,
,,22L-08L,Hy-Lok 22mm,Hy-Lok 8mm,,,
,,22L-10L,Hy-Lok 22mm,Hy-Lok 10mm,,,
,,22L-12L,Hy-Lok 22mm,Hy-Lok 12mm,,,
,,22L-15L,Hy-Lok 22mm,Hy-Lok 15mm,,,
,,22L-18L,Hy-Lok 22mm,Hy-Lok 18mm,,,
,,28L-06L,Hy-Lok 28mm,Hy-Lok 6mm,,,
,,28L-08L,Hy-Lok 28mm,Hy-Lok 8mm,,,
,,28L-10L,Hy-Lok 28mm,Hy-Lok 10mm,,,
,,28L-12L,Hy-Lok 28mm,Hy-Lok 12mm,,,
,,28L-15L,Hy-Lok 28mm,Hy-Lok 15mm,,,
,,28L-18L,Hy-Lok 28mm,Hy-Lok 18mm,,,
,,28L-22L,Hy-Lok 28mm,Hy-Lok 22mm,,,
,,35L-06L,Hy-Lok 35mm,Hy-Lok 6mm,,,
,,35L-08L,Hy-Lok 35mm,Hy-Lok 8mm,,,
,,35L-10L,Hy-Lok 35mm,Hy-Lok 10mm,,,
,,35L-12L,Hy-Lok 35mm,Hy-Lok 12mm,,,
,,35L-15L,Hy-Lok 35mm,Hy-Lok 15mm,,,
,,35L-18L,Hy-Lok 35mm,Hy-Lok 18mm,,,
,,35L-22L,Hy-Lok 35mm,Hy-Lok 22mm,,,
,,35L-28L,Hy-Lok 35mm,Hy-Lok 28mm,,,
,,42L-06L,Hy-Lok 42mm,Hy-Lok 6mm,,,
,,42L-08L,Hy-Lok 42mm,Hy-Lok 8mm,,,
,,42L-10L,Hy-Lok 42mm,Hy-Lok 10mm,,,
,,42L-12L,Hy-Lok 42mm,Hy-Lok 12mm,,,
,,42L-15L,Hy-Lok 42mm,Hy-Lok 15mm,,,
,,42L-18L,Hy-Lok 42mm,Hy-Lok 18mm,,,
,,42L-22L,Hy-Lok 42mm,Hy-Lok 22mm,,,
,,42L-28L,Hy-Lok 42mm,Hy-Lok 28mm,,,
,,42L-35L,Hy-Lok 42mm,Hy-Lok 35mm,,,
