#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Материал корпуса
,H-ZBG,2-B,"ZCR 1/8""",нерж.сталь SM6L
,,4-B,"ZCR 1/4""",нерж.сталь SM6L
,,8-B,"ZCR 1/2""",нерж.сталь SM6L
,,12-B,"ZCR 3/4""",нерж.сталь SM6L
,,16-B,"ZCR 1""",нерж.сталь SM6L
