#;Заказной код;Размер;Параметр:Размер:Наружный диаметр трубы (D);Параметр:Размер:Наружный диаметр трубы (D1);Параметр:Размер:Наружный диаметр трубы (D2);Условное обозначение:Размер:Наружный диаметр трубы (D);Условное обозначение:Размер:Наружный диаметр трубы (D1);Условное обозначение:Размер:Наружный диаметр трубы (D2);Материал;Параметр:Материал:Материал;Условное обозначение:Материал:Материал
;CTR;"""4-4-2""";Hy-Lok 1/4;Hy-Lok 1/4;Hy-Lok 1/8;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;-;S316;Нержавеющая сталь
;;"""4-4-6""";Hy-Lok 1/4;Hy-Lok 1/4;Hy-Lok 3/8;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;BRAS;BRAS;Латунь
;;"""6-6-4""";Hy-Lok 3/8;Hy-Lok 3/8;Hy-Lok 1/4;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;STEL;STEL;Углеродистая сталь
;;"""6-6-8""";Hy-Lok 3/8;Hy-Lok 3/8;Hy-Lok 1/2;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;"""8-4-6""";Hy-Lok 1/2;Hy-Lok 1/4;Hy-Lok 3/8;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;"""8-4-8""";Hy-Lok 1/2;Hy-Lok 1/4;Hy-Lok 1/2;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;"""8-6-6""";Hy-Lok 1/2;Hy-Lok 3/8;Hy-Lok 3/8;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;"""8-8-6""";Hy-Lok 1/2;Hy-Lok 1/2;Hy-Lok 3/8;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;"""8-8-4""";Hy-Lok 1/2;Hy-Lok 1/2;Hy-Lok 1/4;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;"""12-8-12""";Hy-Lok 3/4;Hy-Lok 1/2;Hy-Lok 3/4;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;"""12-12-4""";Hy-Lok 3/4;Hy-Lok 3/4;Hy-Lok 1/4;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;"""12-12-6""";Hy-Lok 3/4;Hy-Lok 3/4;Hy-Lok 3/8;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;"""12-12-8""";Hy-Lok 3/4;Hy-Lok 3/4;Hy-Lok 1/2;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;"""12-12-16""";Hy-Lok 3/4;Hy-Lok 3/4;Hy-Lok 1;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;"""12-12-20""";Hy-Lok 3/4;Hy-Lok 3/4;Hy-Lok 1 1/4;Условное обозначение:Размер:Наружный диаметр трубы (D);Условное обозначение:Размер:Наружный диаметр трубы (D);Условное обозначение:Размер:Наружный диаметр трубы (D);;;
;;"""16-12-12""";Hy-Lok 1;Hy-Lok 3/4;Hy-Lok 3/4;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;"""16-16-4""";Hy-Lok 1;Hy-Lok 1;Hy-Lok 1/4;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;"""16-16-6""";Hy-Lok 1;Hy-Lok 1;Hy-Lok 3/8;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;"""16-16-8""";Hy-Lok 1;Hy-Lok 1;Hy-Lok 1/2;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;"""16-16-12""";Hy-Lok 1;Hy-Lok 1;Hy-Lok 3/4;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;"""20-12-12""";Hy-Lok 1 1/4;Hy-Lok 3/4;Hy-Lok 3/4;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;"""20-20-12""";Hy-Lok 1 1/4;Hy-Lok 1 1/4;Hy-Lok 3/4;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;"""20-20-16""";Hy-Lok 1 1/4;Hy-Lok 1 1/4;Hy-Lok 1;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;"""24-20-20""";Hy-Lok 1 1/2;Hy-Lok 1 1/4;Hy-Lok 1 1/4;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;"""24-24-8""";Hy-Lok 1 1/2;Hy-Lok 1 1/2;Hy-Lok 1/2;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;"""24-24-12""";Hy-Lok 1 1/2;Hy-Lok 1 1/2;Hy-Lok 3/4;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;"""24-24-16""";Hy-Lok 1 1/2;Hy-Lok 1 1/2;Hy-Lok 1;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
;;"""32-32-20""";Hy-Lok 2;Hy-Lok 2;Hy-Lok 1 1/4;Наружный диаметр трубы;Наружный диаметр трубы;Наружный диаметр трубы;;;
