#;Заказной код;Размер;Параметр:Размер:Наруж. диаметр трубы (D);Параметр:Размер:Развальцовка;Материал;Параметр:Материал:Материал;Условное обозначение:Материал:Материал
;CFA;2-2;"Hy-Lok 1/8""";"1/8""";-;S316;Нержавеющая сталь
;;2-4;"Hy-Lok 1/8""";"1/4""";BRAS;BRAS;Латунь
;;4-4;"Hy-Lok 1/4""";"1/4""";STEL;STEL;Углеродистая сталь
;;6-4;"Hy-Lok 3/8""";"1/4""";;;
;;6-6;"Hy-Lok 3/8""";"3/8""";;;
;;8-8;"Hy-Lok 1/2""";"1/2""";;;
;;12-12;"Hy-Lok 3/4""";"3/4""";;;
;;16-16;"Hy-Lok 1""";"1""";;;
