#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Материал корпуса
,H-ZGS,2S-B,"ZCR 1/8""",нерж.сталь SM6L
,,4S-B,"ZCR 1/4""",нерж.сталь SM6L
,,4S-B-SM6L,"ZCR 1/4""",нерж.сталь SM6L
,,6S-B,"ZCR 3/8""",нерж.сталь SM6L
,,8S-B,"ZCR 1/2""",нерж.сталь SM6L
,,12S-B,"ZCR 3/4""",нерж.сталь SM6L
,,16S-B,"ZCR 1""",нерж.сталь SM6L
