#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Материал корпуса
,H-ZSUA,4-B,"ZCR F 1/4""",нерж.сталь SM6L
,,8-B,"ZCR F 1/2""",нерж.сталь SM6L
