#;Заказной код;Размер;Параметр:Размер:Наруж. диаметр трубы (D);Параметр:Размер:Резьба NPT;Материал;Параметр:Материал:Материал;Условное обозначение:Материал:Материал
;CBFC;3M-2N;Hy-Lok 3mm;"NPT 1/8""";-;S316;Нержавеющая сталь
;;3M-4N;Hy-Lok 3mm;"NPT 1/4""";BRAS;BRAS;Латунь
;;6M-2N;Hy-Lok 6mm;"NPT 1/8""";STEL;STEL;Углеродистая сталь
;;6M-4N;Hy-Lok 6mm;"NPT 1/4""";;;
;;8M-4N;Hy-Lok 8mm;"NPT 1/4""";;;
;;10M-4N;Hy-Lok 10mm;"NPT 1/4""";;;
;;12M-6N;Hy-Lok 12mm;NPT 3/8;;;
;;12M-8N;Hy-Lok 12mm;"NPT 1/2""";;;
;;2-2N;"Hy-Lok 1/8""";"NPT 1/8""";;;
;;4-2N;"Hy-Lok 1/4""";"NPT 1/8""";;;
;;4-4N;"Hy-Lok 1/4""";"NPT 1/4""";;;
;;6-4N;"Hy-Lok 3/8""";"NPT 1/4""";;;
;;8-6N;"Hy-Lok 1/2""";"NPT 3/8""";;;
;;8-8N;"Hy-Lok 1/2""";"NPT 1/2""";;;
