#;Заказной код;Размер;Параметр:Размер:Наруж. диаметр трубы (D);Параметр:Размер:NPT (BSPT);Условное обозначение:Размер:Наруж. диаметр трубы (D);Условное обозначение:Размер:NPT (BSPT);Материал;Параметр:Материал:Материал;Условное обозначение:Материал:Материал
;CMC;1-1N;Hy-Lok 1/16;"""1/16""";Подсоединение;Подсоединение NPT (BSPT);-;S316;Нержавеющая сталь
;;1-2N;Hy-Lok 1/16;"""1/8""";Подсоединение;Подсоединение NPT (BSPT);BRAS;BRAS;Латунь
;;1-4N;Hy-Lok 1/16;"""1/4""";Подсоединение;Подсоединение NPT (BSPT);STEL;STEL;Углеродистая сталь
;;2-1N;Hy-Lok 1/8;"""1/16""";Подсоединение;Подсоединение NPT (BSPT);;;
;;2-2N;Hy-Lok 1/8;"""1/8""";Подсоединение;Подсоединение NPT (BSPT);;;
;;2-4N;Hy-Lok 1/8;"""1/4""";Подсоединение;Подсоединение NPT (BSPT);;;
;;2-6N;Hy-Lok 1/8;"""3/8""";Подсоединение;Подсоединение NPT (BSPT);;;
;;2-8N;Hy-Lok 1/8;"""1/2""";Подсоединение;Подсоединение NPT (BSPT);;;
;;3-2N;Hy-Lok 3/16;"""1/8""";Подсоединение;Подсоединение NPT (BSPT);;;
;;3-4N;Hy-Lok 3/16;"""1/4""";Подсоединение;Подсоединение NPT (BSPT);;;
;;4-1N;Hy-Lok 1/4;"""1/16""";Подсоединение;Подсоединение NPT (BSPT);;;
;;4-2N;Hy-Lok 1/4;"""1/8""";Подсоединение;Подсоединение NPT (BSPT);;;
;;4-4N;Hy-Lok 1/4;"""1/4""";Подсоединение;Подсоединение NPT (BSPT);;;
;;4-6N;Hy-Lok 1/4;"""3/8""";Подсоединение;Подсоединение NPT (BSPT);;;
;;4-8N;Hy-Lok 1/4;"""1/2""";Подсоединение;Подсоединение NPT (BSPT);;;
;;4-12N;Hy-Lok 1/4;"""3/4""";Подсоединение;Подсоединение NPT (BSPT);;;
;;5-2N;Hy-Lok 5/16;"""1/8""";Подсоединение;Подсоединение NPT (BSPT);;;
;;5-4N;Hy-Lok 5/16;"""1/4""";Подсоединение;Подсоединение NPT (BSPT);;;
;;5-6N;Hy-Lok 5/16;"""3/8""";Подсоединение;Подсоединение NPT (BSPT);;;
;;6-2N;Hy-Lok 3/8;"""1/8""";Подсоединение;Подсоединение NPT (BSPT);;;
;;6-4N;Hy-Lok 3/8;"""1/4""";Подсоединение;Подсоединение NPT (BSPT);;;
;;6-6N;Hy-Lok 3/8;"""3/8""";Подсоединение;Подсоединение NPT (BSPT);;;
;;6-8N;Hy-Lok 3/8;"""1/2""";Подсоединение;Подсоединение NPT (BSPT);;;
;;6-12N;Hy-Lok 3/8;"""3/4""";Подсоединение;Подсоединение NPT (BSPT);;;
;;8-2N;Hy-Lok 1/2;"""1/8""";Подсоединение;Подсоединение NPT (BSPT);;;
;;8-4N;Hy-Lok 1/2;"""1/4""";Подсоединение;Подсоединение NPT (BSPT);;;
;;8-6N;Hy-Lok 1/2;"""3/8""";Подсоединение;Подсоединение NPT (BSPT);;;
;;8-8N;Hy-Lok 1/2;"""1/2""";Подсоединение;Подсоединение NPT (BSPT);;;
;;8-12N;Hy-Lok 1/2;"""3/4""";Подсоединение;Подсоединение NPT (BSPT);;;
;;8-16N;Hy-Lok 1/2;"""1""";Подсоединение;Подсоединение NPT (BSPT);;;
;;10-6N;Hy-Lok 5/8;"""3/8""";Подсоединение;Подсоединение NPT (BSPT);;;
;;10-8N;Hy-Lok 5/8;"""1/2""";Подсоединение;Подсоединение NPT (BSPT);;;
;;10-12N;Hy-Lok 5/8;"""3/4""";Подсоединение;Подсоединение NPT (BSPT);;;
;;12-4N;Hy-Lok 3/4;"""1/4""";Подсоединение;Подсоединение NPT (BSPT);;;
;;12-8N;Hy-Lok 3/4;"""1/2""";Подсоединение;Подсоединение NPT (BSPT);;;
;;12-12N;Hy-Lok 3/4;"""3/4""";Подсоединение;Подсоединение NPT (BSPT);;;
;;12-16N;Hy-Lok 3/4;"""1""";Подсоединение;Подсоединение NPT (BSPT);;;
;;14-12N;Hy-Lok 7/8;"""3/4""";Подсоединение;Подсоединение NPT (BSPT);;;
;;14-16N;Hy-Lok 7/8;"""1""";Подсоединение;Подсоединение NPT (BSPT);;;
;;16-8N;Hy-Lok 1;"""1/2""";Подсоединение;Подсоединение NPT (BSPT);;;
;;16-12N;Hy-Lok 1;"""3/4""";Подсоединение;Подсоединение NPT (BSPT);;;
;;16-16N;Hy-Lok 1;"""1""";Подсоединение;Подсоединение NPT (BSPT);;;
;;20-16N;Hy-Lok 1 1/4;"""1""";Подсоединение;Подсоединение NPT (BSPT);;;
;;20-20N;Hy-Lok 1 1/4;"""1 1/4""";Подсоединение;Подсоединение NPT (BSPT);;;
;;20-24N;Hy-Lok 1 1/4;"""1 1/2""";Подсоединение;Подсоединение NPT (BSPT);;;
;;24-24N;Hy-Lok 1 1/2;"""1 1/2""";Подсоединение;Подсоединение NPT (BSPT);;;
;;32-32N;Hy-Lok 2;"""2""";Подсоединение;Подсоединение NPT (BSPT);;;
;;2M-2N;Hy-Lok 2mm;"""1/8""";Подсоединение;Подсоединение NPT (BSPT);;;
;;3M-2N;Hy-Lok 3mm;"""1/8""";Подсоединение;Подсоединение NPT (BSPT);;;
;;3M-4N;Hy-Lok 3mm;"""1/4""";Подсоединение;Подсоединение NPT (BSPT);;;
;;3M-6N;Hy-Lok 3mm;"""3/8""";Подсоединение;Подсоединение NPT (BSPT);;;
;;3M-8N;Hy-Lok 3mm;"""1/2""";Подсоединение;Подсоединение NPT (BSPT);;;
;;4M-2N;Hy-Lok 4mm;"""1/8""";Подсоединение;Подсоединение NPT (BSPT);;;
;;4M-4N;Hy-Lok 4mm;"""1/4""";Подсоединение;Подсоединение NPT (BSPT);;;
;;6M-2N;Hy-Lok 6mm;"""1/8""";Подсоединение;Подсоединение NPT (BSPT);;;
;;6M-4N;Hy-Lok 6mm;"""1/4""";Подсоединение;Подсоединение NPT (BSPT);;;
;;6M-6N;Hy-Lok 6mm;"""3/8""";Подсоединение;Подсоединение NPT (BSPT);;;
;;6M-8N;Hy-Lok 6mm;"""1/2""";Подсоединение;Подсоединение NPT (BSPT);;;
;;6M-12N;Hy-Lok 6mm;"""3/4""";Подсоединение;Подсоединение NPT (BSPT);;;
;;8M-2N;Hy-Lok 8mm;"""1/8""";Подсоединение;Подсоединение NPT (BSPT);;;
;;8M-4N;Hy-Lok 8mm;"""1/4""";Подсоединение;Подсоединение NPT (BSPT);;;
;;8M-6N;Hy-Lok 8mm;"""3/8""";Подсоединение;Подсоединение NPT (BSPT);;;
;;8M-8N;Hy-Lok 8mm;"""1/2""";Подсоединение;Подсоединение NPT (BSPT);;;
;;10M-2N;Hy-Lok 10mm;"""1/8""";Подсоединение;Подсоединение NPT (BSPT);;;
