#,Заказной код,Размер,Параметр:Размер:Подсоединение,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,H-SNA,4R,"RT 1/4""",-,S316,Нержавеющая сталь
,,6R,"RT 3/8""",STEL,STEL,Углеродистая сталь
,,8RG,"RT 1/2""",BRAS,BRAS,Латунь
