#,Заказной код,Размер,Параметр:Размер:Подсоединение,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,Q,1SSM-2N,"NPT 1/8""",-,S316,Нержавеющая сталь
,,1SSM-4N,"NPT 1/4""",STEL,STEL,Углеродистая сталь
,,2SSM-4N,"NPT 1/4""",BRAS,BRAS,Латунь
,,2SSM-6N,"NPT 3/8""",,,
,,3SSM-8N,"NPT 1/2""",,,
,,1SSM-4R,"PT 1/4""",,,
,,2SSM-6R,"PT 3/8""",,,
,,3SSM-8R,"PT 1/2""",,,
