#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Параметр:Размер:Материал корпуса
,H-ZLMA,4-2N-B,"ZCR M 1/4""","NPT 1/8""",нерж.сталь SM6L
,,4-4N-B,"ZCR M 1/4""","NPT 1/4""",нерж.сталь SM6L
,,8-6N-B,"ZCR M 1/2""","NPT 3/8""",нерж.сталь SM6L
,,8-8N-B,"ZCR M 1/2""","NPT 1/2""",нерж.сталь SM6L
