#,Заказной код,Наруж. диаметр трубы (D),Параметр:Наруж. диаметр трубы (D):Наруж. диаметр трубы (D),Параметр:Наруж. диаметр трубы (D):Наруж. диаметр трубы (D1),Условное обозначение:Наруж. диаметр трубы (D):Наруж. диаметр трубы (D),Условное обозначение:Наруж. диаметр трубы (D):Наруж. диаметр трубы (D1),Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,CUR,"""2-1""",Hy-Lok 1/8,Hy-Lok 1/16,Подсоединение,Подсоединение,-,S316,Нержавеющая сталь
,,"""3-1""",Hy-Lok 3/16,Hy-Lok 1/16,Подсоединение,Подсоединение,BRAS,BRAS,Латунь
,,"""3-2""",Hy-Lok 3/16,Hy-Lok 1/8,Подсоединение,Подсоединение,STEL,STEL,Углеродистая сталь
,,"""4-1""",Hy-Lok 1/4,Hy-Lok 1/16,Подсоединение,Подсоединение,,,
,,"""4-2""",Hy-Lok 1/4,Hy-Lok 1/8,Подсоединение,Подсоединение,,,
,,"""4-3""",Hy-Lok 1/4,Hy-Lok 3/16,Подсоединение,Подсоединение,,,
,,"""5-2""",Hy-Lok 5/16,Hy-Lok 1/8,Подсоединение,Подсоединение,,,
,,"""5-4""",Hy-Lok 5/16,Hy-Lok 1/4,Подсоединение,Подсоединение,,,
,,"""6-1""",Hy-Lok 3/8,Hy-Lok 1/16,Подсоединение,Подсоединение,,,
,,"""6-2""",Hy-Lok 3/8,Hy-Lok 1/8,Подсоединение,Подсоединение,,,
,,"""6-4""",Hy-Lok 3/8,Hy-Lok 1/4,Подсоединение,Подсоединение,,,
,,"""6-5""",Hy-Lok 3/8,Hy-Lok 5/16,Подсоединение,Подсоединение,,,
,,"""8-2""",Hy-Lok 1/2,Hy-Lok 1/8,Подсоединение,Подсоединение,,,
,,"""8-4""",Hy-Lok 1/2,Hy-Lok 1/4,Подсоединение,Подсоединение,,,
,,"""8-6""",Hy-Lok 1/2,Hy-Lok 3/8,Подсоединение,Подсоединение,,,
,,"""10-6""",Hy-Lok 5/8,Hy-Lok 3/8,Подсоединение,Подсоединение,,,
,,"""10-8""",Hy-Lok 5/8,Hy-Lok 1/2,Подсоединение,Подсоединение,,,
,,"""12-4""",Hy-Lok 3/4,Hy-Lok 1/4,Подсоединение,Подсоединение,,,
,,"""12-6""",Hy-Lok 3/4,Hy-Lok 3/8,Подсоединение,Подсоединение,,,
,,"""12-8""",Hy-Lok 3/4,Hy-Lok 1/2,Подсоединение,Подсоединение,,,
,,"""12-10""",Hy-Lok 3/4,Hy-Lok 5/8,Подсоединение,Подсоединение,,,
,,"""16-8""",Hy-Lok 1,Hy-Lok 1/2,Подсоединение,Подсоединение,,,
,,"""16-12""",Hy-Lok 1,Hy-Lok 3/4,Подсоединение,Подсоединение,,,
