#;Заказной код;Наруж. диаметр трубы;Параметр:Наруж. диаметр трубы:Наруж. диаметр трубы (D);Параметр:Наруж. диаметр трубы:Наруж. диаметр трубы (D1);Условное обозначение:Наруж. диаметр трубы:Наруж. диаметр трубы (D);Условное обозначение:Наруж. диаметр трубы:Наруж. диаметр трубы (D1);Материал;Параметр:Материал:Материал;Условное обозначение:Материал:Материал
;CBUR;"""2-4""";Hy-Lok 1/8;Hy-Lok 1/4;Подсоединение;Подсоединение;-;S316;Нержавеющая сталь
;;"""4-6""";Hy-Lok 1/4;Hy-Lok 3/8;Подсоединение;Подсоединение;BRAS;BRAS;Латунь
;;"""6-4""";Hy-Lok 3/8;Hy-Lok 1/4;Подсоединение;Подсоединение;STEL;STEL;Углеродистая сталь
;;"""6-8""";Hy-Lok 3/8;Hy-Lok 1/2;Подсоединение;Подсоединение;;;
;;"""8-4""";Hy-Lok 1/2;Hy-Lok 1/4;Подсоединение;Подсоединение;;;
;;"""8-6""";Hy-Lok 1/2;Hy-Lok 3/8;Подсоединение;Подсоединение;;;
