#;Заказной код;Размер;Параметр:Размер:Подсоединение (D);Параметр:Размер:Подсоединение (D1);Материал;Параметр:Материал:Материал;Условное обозначение:Материал:Материал
;CI;"""3-2  ";"Hy-Lok 3/16""";"1/8""";-;S316;Нержавеющая сталь
;;"""4-2  ";"Hy-Lok 1/4""";"1/8""";STEL;STEL;Углеродистая сталь
;;"""4-3  ";"Hy-Lok 1/4""";"3/16""";BRAS;BRAS;Латунь
;;"""5-2  ";"Hy-Lok 5/16""";"1/8""";;;
;;"""5-3  ";"Hy-Lok 5/16""";"3/16""";;;
;;"""5-4  ";"Hy-Lok 5/16""";"1/4""";;;
;;"""6-3  ";"Hy-Lok 3/8""";"3/16""";;;
;;"""6-4  ";"Hy-Lok 3/8""";"1/4""";;;
;;"""8-4  ";"Hy-Lok 1/2""";"1/4""";;;
;;"""8-6  ";"Hy-Lok 1/2""";"3/8""";;;
;;"""10-6  ";"Hy-Lok 5/8""";"3/8""";;;
;;"""10-8  ";"Hy-Lok 5/8""";"1/2""";;;
;;"""12-8  ";"Hy-Lok 3/4""";"1/2""";;;
;;"""12-10  ";"Hy-Lok 3/4""";"5/8""";;;
;;"""16-12  ";"Hy-Lok 1""";"3/4""";;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
