#;Заказной код;Размер;Параметр:Размер:Наруж. диаметр трубы (D);Параметр:Размер:RT;Условное обозначение:Размер:Наруж. диаметр трубы (D);Условное обозначение:Размер:RT;Материал;Параметр:Материал:Материал;Условное обозначение:Материал:Материал
;CMC;1-1R;Hy-Lok 1/16;"""1/16""";Подсоединение;Подсоединение RT;-;S316;Нержавеющая сталь
;;1-2R;Hy-Lok 1/16;"""1/8""";Подсоединение;Подсоединение RT;BRAS;BRAS;Латунь
;;2-1R;Hy-Lok 1/8;"""1/16""";Подсоединение;Подсоединение RT;STEL;STEL;Углеродистая сталь
;;2-2R;Hy-Lok 1/8;"""1/8""";Подсоединение;Подсоединение RT;;;
;;2-4R;Hy-Lok 1/8;"""1/4""";Подсоединение;Подсоединение RT;;;
;;2-6R;Hy-Lok 1/8;"""3/8""";Подсоединение;Подсоединение RT;;;
;;2-8R;Hy-Lok 1/8;"""1/2""";Подсоединение;Подсоединение RT;;;
;;3-2R;Hy-Lok 3/16;"""1/8""";Подсоединение;Подсоединение RT;;;
;;3-4R;Hy-Lok 3/16;"""1/4""";Подсоединение;Подсоединение RT;;;
;;4-12R;Hy-Lok 1/4;"""3/4""";Подсоединение;Подсоединение RT;;;
;;4-1R;Hy-Lok 1/4;"""1/16""";Подсоединение;Подсоединение RT;;;
;;4-2R;Hy-Lok 1/4;"""1/8""";Подсоединение;Подсоединение RT;;;
;;4-4R;Hy-Lok 1/4;"""1/4""";Подсоединение;Подсоединение RT;;;
;;4-6R;Hy-Lok 1/4;"""3/8""";Подсоединение;Подсоединение RT;;;
;;4-8R;Hy-Lok 1/4;"""1/2""";Подсоединение;Подсоединение RT;;;
;;5-2R;Hy-Lok 5/16;"""1/8""";Подсоединение;Подсоединение RT;;;
;;5-4R;Hy-Lok 5/16;"""1/4""";Подсоединение;Подсоединение RT;;;
;;5-6R;Hy-Lok 5/16;"""3/8""";Подсоединение;Подсоединение RT;;;
;;6-12R;Hy-Lok 3/8;"""3/4""";Подсоединение;Подсоединение RT;;;
;;6-2R;Hy-Lok 3/8;"""1/8""";Подсоединение;Подсоединение RT;;;
;;6-4R;Hy-Lok 3/8;"""1/4""";Подсоединение;Подсоединение RT;;;
;;6-6R;Hy-Lok 3/8;"""3/8""";Подсоединение;Подсоединение RT;;;
;;6-8R;Hy-Lok 3/8;"""1/2""";Подсоединение;Подсоединение RT;;;
;;8-12R;Hy-Lok 1/2;"""3/4""";Подсоединение;Подсоединение RT;;;
;;8-16R;Hy-Lok 1/2;"""1""";Подсоединение;Подсоединение RT;;;
;;8-2R;Hy-Lok 1/2;"""1/8""";Подсоединение;Подсоединение RT;;;
;;8-4R;Hy-Lok 1/2;"""1/4""";Подсоединение;Подсоединение RT;;;
;;8-6R;Hy-Lok 1/2;"""3/8""";Подсоединение;Подсоединение RT;;;
;;8-8R;Hy-Lok 1/2;"""1/2""";Подсоединение;Подсоединение RT;;;
;;10-6R;Hy-Lok 5/8;"""3/8""";Подсоединение;Подсоединение RT;;;
;;10-8R;Hy-Lok 5/8;"""1/2""";Подсоединение;Подсоединение RT;;;
;;10-12R;Hy-Lok 5/8;"""3/4""";Подсоединение;Подсоединение RT;;;
;;12-8R;Hy-Lok 3/4;"""1/2""";Подсоединение;Подсоединение RT;;;
;;12-12R;Hy-Lok 3/4;"""3/4""";Подсоединение;Подсоединение RT;;;
;;12-16R;Hy-Lok 3/4;"""1""";Подсоединение;Подсоединение RT;;;
;;14-12R;Hy-Lok 7/8;"""3/4""";Подсоединение;Подсоединение RT;;;
;;14-16R;Hy-Lok 7/8;"""1""";Подсоединение;Подсоединение RT;;;
;;16-8R;Hy-Lok 1;"""1/2""";Подсоединение;Подсоединение RT;;;
;;16-12R;Hy-Lok 1;"""3/4""";Подсоединение;Подсоединение RT;;;
;;16-16R;Hy-Lok 1;"""1""";Подсоединение;Подсоединение RT;;;
;;20-16R;Hy-Lok 1 1/4;"""1""";Подсоединение;Подсоединение RT;;;
;;20-20R;Hy-Lok 1 1/4;"""1 1/4""";Подсоединение;Подсоединение RT;;;
;;20-24R;Hy-Lok 1 1/4;"""1 1/2""";Подсоединение;Подсоединение RT;;;
;;24-24R;Hy-Lok 1 1/2;"""1 1/2""";Подсоединение;Подсоединение RT;;;
;;32-32R;Hy-Lok 2;"""2""";Подсоединение;Подсоединение RT;;;
;;3M-2R;Hy-Lok 3mm;"""1/8""";Подсоединение;Подсоединение RT;;;
;;3M-4R;Hy-Lok 3mm;"""1/4""";Подсоединение;Подсоединение RT;;;
;;3M-6R;Hy-Lok 3mm;"""3/8""";Подсоединение;Подсоединение RT;;;
;;3M-8R;Hy-Lok 3mm;"""1/2""";Подсоединение;Подсоединение RT;;;
;;4M-2R;Hy-Lok 4mm;"""1/8""";Подсоединение;Подсоединение RT;;;
;;4M-4R;Hy-Lok 4mm;"""1/4""";Подсоединение;Подсоединение RT;;;
;;6M-2R;Hy-Lok 6mm;"""1/8""";Подсоединение;Подсоединение RT;;;
;;6M-4R;Hy-Lok 6mm;"""1/4""";Подсоединение;Подсоединение RT;;;
;;6M-6R;Hy-Lok 6mm;"""3/8""";Подсоединение;Подсоединение RT;;;
;;6M-8R;Hy-Lok 6mm;"""1/2""";Подсоединение;Подсоединение RT;;;
;;6M-12R;Hy-Lok 6mm;"""3/4""";Подсоединение;Подсоединение RT;;;
;;8M-2R;Hy-Lok 8mm;"""1/8""";Подсоединение;Подсоединение RT;;;
;;8M-4R;Hy-Lok 8mm;"""1/4""";Подсоединение;Подсоединение RT;;;
