#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Параметр:Размер:Материал корпуса
,H-ZUR,4-2-B,"ZCR M 1/4""","ZCR M 1/8""",нерж.сталь SM6L
,,8-4-B,"ZCR M 1/2""","ZCR M 1/4""",нерж.сталь SM6L
