#;Заказной код;Наруж. диаметр трубы;Параметр:Наруж. диаметр трубы:Наруж. диаметр трубы (D);Параметр:Наруж. диаметр трубы:Наруж. диаметр трубы (D1);Условное обозначение:Наруж. диаметр трубы:Наруж. диаметр трубы (D);Условное обозначение:Наруж. диаметр трубы:Наруж. диаметр трубы (D1);Материал;Параметр:Материал:Материал;Условное обозначение:Материал:Материал
;CBUR;3M-6M;Hy-Lok 3mm;Hy-Lok 6mm;Подсоединение;Подсоединение;-;S316;Нержавеющая сталь
;;6M-10M;Hy-Lok 6mm;Hy-Lok 10mm;Подсоединение;Подсоединение;BRAS;BRAS;Латунь
;;10M-6M;Hy-Lok 10mm;Hy-Lok 6mm;Подсоединение;Подсоединение;STEL;STEL;Углеродистая сталь
;;10M-12M;Hy-Lok 10mm;Hy-Lok 12mm;Подсоединение;Подсоединение;;;
;;12M-6M;Hy-Lok 12mm;Hy-Lok 6mm;Подсоединение;Подсоединение;;;
;;12M-10M;Hy-Lok 12mm;Hy-Lok 10mm;Подсоединение;Подсоединение;;;
