#,Заказной код,Размер,Параметр:Размер:Подсоединение,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,Q,1BH-3M,Hy-Lok 3mm,-,S316,Нержавеющая сталь
,,1BH-6M,Hy-Lok 6mm,STEL,STEL,Углеродистая сталь
,,1BH-8M,Hy-Lok 8mm,BRAS,BRAS,Латунь
,,2BH-10M,Hy-Lok 10mm,,,
,,3BH-12M,Hy-Lok 12mm,,,
,,1BH-2T,"Hy-Lok 1/8""",,,
,,1BH-4T,"Hy-Lok 1/4""",,,
,,2BH-6T,"Hy-Lok 3/8""",,,
,,3BH-8T,"Hy-Lok 1/2""",,,
