#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Материал,Параметр:Заказной код:Аналог продукции
,SKA10X1.071,DIN 10mm,S316,DAK-10X1.0
,SKA10X1.571,DIN 10mm,S316,DAK-10X1.5
,SKA10X2.071,DIN 10mm,S316,DAK-10X2.0
,SKA12X1.571,DIN 12mm,S316,DAK-12X1.5
,SKA12X2.071,DIN 12mm,S316,DAK-12X2.0
,SKA12X2.571,DIN 12mm,S316,DAK-12X2.5
,SKA16X1.571,DIN 16mm,S316,DAK-16X1.5
,SKA12x271,DIN 12mm,S316,DAK-12x2.0
,SKA16X2.071,DIN 16mm,S316,DAK-16X2.0
,SKA16X2.571,DIN 16mm,S316,DAK-16X2.5
,SKA16X3.071,DIN 16mm,S316,DAK-16X3.0
,SKA20X2.071,DIN 20mm,S316,DAK-20X2.0
,SKA20X2.571,DIN 20mm,S316,DAK-20X2.5
,SKA20X3.071,DIN 20mm,S316,DAK-20X3.0
,SKA20X4.071,DIN 20mm,S316,DAK-20X4.0
,SKA25X3.071,DIN 25mm,S316,DAK-25X3.0
,SKA25X4.071,DIN 25mm,S316,DAK-25X4.0
,SKA25X5.071,DIN 25mm,S316,DAK-25X5.0
,SKA30X3.071,DIN 30mm,S316,DAK-30X3.0
,SKA30X4.071,DIN 30mm,S316,DAK-30X4.0
,SKA30X5.071,DIN 30mm,S316,DAK-30X5.0
,SKA30X6.071,DIN 30mm,S316,DAK-30X6.0
,SKA38X4.071,DIN 38mm,S316,DAK-38X4.0
,SKA38X5.071,DIN 38mm,S316,DAK-38X5.0
,SKA38X6.071,DIN 38mm,S316,DAK-38X6.0
,SKA38X7.071,DIN 38mm,S316,DAK-38X7.0
,SKA10X1.0X,DIN 10mm,STEL,DAK-10X1.0-STEL
,SKA10X1.5X,DIN 10mm,STEL,DAK-10X1.5-STEL
,SKA10X2.0X,DIN 10mm,STEL,DAK-10X2.0-STEL
,SKA12X1.5X,DIN 12mm,STEL,DAK-12X1.5-STEL
,SKA12X2.0X,DIN 12mm,STEL,DAK-12X2.0-STEL
,SKA12X2.5X,DIN 12mm,STEL,DAK-12X2.5-STEL
,SKA16X1.5X,DIN 16mm,STEL,DAK-16X1.5-STEL
,SKA12x2X,DIN 12mm,STEL,DAK-12x2-STEL
,SKA16X2.0X,DIN 16mm,STEL,DAK-16X2.0-STEL
,SKA16X2.5X,DIN 16mm,STEL,DAK-16X2.5-STEL
,SKA16X3.0X,DIN 16mm,STEL,DAK-16X3.0-STEL
,SKA20X2.0X,DIN 20mm,STEL,DAK-20X2.0-STEL
,SKA20X2.5X,DIN 20mm,STEL,DAK-20X2.5-STEL
,SKA20X3.0X,DIN 20mm,STEL,DAK-20X3.0-STEL
,SKA20X4.0X,DIN 20mm,STEL,DAK-20X4.0-STEL
,SKA25X3.0X,DIN 25mm,STEL,DAK-25X3.0-STEL
,SKA25X4.0X,DIN 25mm,STEL,DAK-25X4.0-STEL
,SKA25X5.0X,DIN 25mm,STEL,DAK-25X5.0-STEL
,SKA30X3.0X,DIN 30mm,STEL,DAK-30X3.0-STEL
,SKA30X4.0X,DIN 30mm,STEL,DAK-30X4.0-STEL
,SKA30X5.0X,DIN 30mm,STEL,DAK-30X5.0-STEL
,SKA30X6.0X,DIN 30mm,STEL,DAK-30X6.0-STEL
,SKA38X4.0X,DIN 38mm,STEL,DAK-38X4.0-STEL
,SKA38X5.0X,DIN 38mm,STEL,DAK-38X5.0-STEL
,SKA38X6.0X,DIN 38mm,STEL,DAK-38X6.0-STEL
,SKA38X7.0X,DIN 38mm,STEL,DAK-38X7.0-STEL
