#,Заказной код,Размер,Параметр:Размер:Подсоединение,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,DVSTI,01GED,"BSPP 1/8""",-,S316,Нержавеющая сталь (316-я)
,,02GED,"BSPP 1/4""",STEL,STEL,Углеродистая сталь
,,03GED,"BSPP 3/8""",BRAS,BRAS,Латунь
,,04GED,"BSPP 1/2""",,,
,,06GED,"BSPP 3/4""",,,
,,08GED,"BSPP 1""",,,
,,10GED,"BSPP 1 1/4""",,,
,,12GED,"BSPP 1 1/2""",,,
