#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,DOM,08L-04U,DIN 8mm,"UNF 4""",-,S316,Нержавеющая сталь (316-я)
,,10L-04U,DIN 10mm,"UNF 4""",STEL,STEL,Углеродистая сталь
,,12L-06U,DIN 12mm,"UNF 6""",BRAS,BRAS,Латунь
,,12L-08U,DIN 12mm,"UNF 8""",,,
,,12L-10U,DIN 12mm,"UNF 10""",,,
,,15L-08U,DIN 15mm,"UNF 8""",,,
,,15L-10U,DIN 15mm,"UNF 10""",,,
,,18L-08U,DIN 18mm,"UNF 8""",,,
,,18L-10U,DIN 18mm,"UNF 10""",,,
,,22L-10U,DIN 22mm,"UNF 10""",,,
,,22L-12U,DIN 22mm,"UNF 12""",,,
,,22L-16U,DIN 22mm,"UNF 16""",,,
,,28L-12U,DIN 28mm,"UNF 12""",,,
,,28L-16U,DIN 28mm,"UNF 16""",,,
,,35L-16U,DIN 35mm,"UNF 16""",,,
,,35L-20U,DIN 35mm,"UNF 20""",,,
,,42L-20U,DIN 42mm,"UNF 20""",,,
