#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Материал корпуса
,H-ZGS,4-2S-B,"ZCR 1/4""",нерж.сталь SM6L
,,8-4S-B,"ZCR 1/2""",нерж.сталь SM6L
