#,Заказной код,Размер,Параметр:Размер:Ниппель,Параметр:Размер:RT,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,CAF,3M-2R,3mm,"RT 1/8""",-,S316,Нержавеющая сталь
,,3M-4R,3mm,"RT 1/4""",BRAS,BRAS,Латунь
,,6M-2R,6mm,"RT 1/8""",STEL,STEL,Углеродистая сталь
,,6M-4R,6mm,"RT 1/4""",,,
,,6M-6R,6mm,"RT 3/8""",,,
,,6M-8R,6mm,"RT 1/2""",,,
,,10M-2R,10mm,"RT 1/8""",,,
,,10M-4R,10mm,"RT 1/4""",,,
,,10M-6R,10mm,"RT 3/8""",,,
,,10M-8R,10mm,"RT 1/2""",,,
,,12M-4R,12mm,"RT 1/4""",,,
,,12M-6R,12mm,"RT 3/8""",,,
,,12M-8R,12mm,"RT 1/2""",,,
,,20M-8R,20mm,"RT 1/2""",,,
,,20M-12R,20mm,"RT 3/4""",,,
,,25M-12R,25mm,"RT 3/4""",,,
,,25M-16R,25mm,"RT 1""",,,
,,32M-20R,32mm,"RT 1 1/4""",,,
,,38M-24R,38mm,"RT 1 1/2""",,,
,,50M-32R,50mm,"RT 2""",,,
,,2-2R,"1/8""","RT 1/8""",,,
,,2-4R,"1/8""","RT 1/4""",,,
,,4-2R,"1/4""","RT 1/8""",,,
,,4-4R,"1/4""","RT 1/4""",,,
,,4-6R,"1/4""","RT 3/8""",,,
,,4-8R,"1/4""","RT 1/2""",,,
,,6-2R,"3/8""","RT 1/8""",,,
,,6-4R,"3/8""","RT 1/4""",,,
,,6-6R,"3/8""","RT 3/8""",,,
,,6-8R,"3/8""","RT 1/2""",,,
,,8-4R,"1/2""","RT 1/4""",,,
,,8-6R,"1/2""","RT 3/8""",,,
,,8-8R,"1/2""","RT 1/2""",,,
,,12-8R,"3/4""","RT 1/2""",,,
,,12-12R,"3/4""","RT 3/4""",,,
,,16-12R,"1""","RT 3/4""",,,
,,16-16R,"1""","RT 1""",,,
,,20-20R,"1 1/4""","RT 1 1/4""",,,
,,24-24R,"1 1/2""","RT 1 1/2""",,,
,,32-32R,"2""","RT 2""",,,
