#,Заказной код,Размер,Параметр:Размер:Подсоединение,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,Q,1DSBH-6M,Hy-Lok 6mm,-,S316,Нержавеющая сталь
,,1DSBH-8M,Hy-Lok 8mm,STEL,STEL,Углеродистая сталь
,,2DSBH-10M,Hy-Lok 10mm,BRAS,BRAS,Латунь
,,3DSBH-12M,Hy-Lok 12mm,,,
,,1DSBH-4T,"Hy-Lok 1/4""",,,
,,2DSBH-6T,"Hy-Lok 3/8""",,,
,,3DSBH-8T,"Hy-Lok 1/2""",,,
