#,Заказной код,Размер,Параметр:Размер:Подсоединение,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,Q,1DSM-2N,"NPT 1/8""",-,S316,Нержавеющая сталь
,,1DSM-4N,"NPT 1/4""",STEL,STEL,Углеродистая сталь
,,2DSM-4N,"NPT 1/4""",BRAS,BRAS,Латунь
,,2DSM-6N,"NPT 3/8""",,,
,,3DSM-8N,"NPT 1/2""",,,
,,1DSM-4R,"PT 1/4""",,,
,,2DSM-6R,"PT 3/8""",,,
,,3DSM-8R,"PT 1/2""",,,
