#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Материал корпуса
,H-ZBHU,4-B,"ZCR M 1/4""",нерж.сталь SM6L
,,4L46-B,"ZCR M 1/4""",нерж.сталь SM6L
,,8-B,"ZCR M 1/2""",нерж.сталь SM6L
,,8L54-B,"ZCR M 1/2""",нерж.сталь SM6L
