#;Заказной код;Размер;Параметр:Размер:Наруж. диаметр трубы (D);Параметр:Размер:Резьба RT;Материал;Параметр:Материал:Материал;Условное обозначение:Материал:Материал
;CBMC;3M-2R ;Hy-Lok 3mm;"RT 1/8""";-;S316;Нержавеющая сталь
;;6M-2R ;Hy-Lok 6mm;"RT 1/8""";BRAS;BRAS;Латунь
;;6M-4R ;Hy-Lok 6mm;"RT 1/4""";STEL;STEL;Углеродистая сталь
;;10M-4R ;Hy-Lok 10mm;"RT 1/4""";;;
;;12M-6R ;Hy-Lok 12mm;"RT 3/8""";;;
;;12M-8R ;Hy-Lok 12mm;"RT 1/2""";;;
;;2-2R ;"Hy-Lok 1/8""";"RT 1/8""";;;
;;4-2R ;"Hy-Lok 1/4""";"RT 1/8""";;;
;;4-4R ;"Hy-Lok 1/4""";"RT 1/4""";;;
;;6-4R ;"Hy-Lok 3/8""";"RT 1/4""";;;
;;8-6R ;"Hy-Lok 1/2""";"RT 3/8""";;;
;;8-8R ;"Hy-Lok 1/2""";"RT 1/2""";;;
