#;Заказной код;Размер;Параметр:Размер:Наружный диаметр трубы (D);Условное обозначение:Размер:Наружный диаметр трубы (D);Материал;Параметр:Материал:Материал;Условное обозначение:Материал:Материал
;CXA;3M;Hy-Lok 3мм;Наружный диаметр трубы;-;S316;Нержавеющая сталь
;;6M;Hy-Lok 6мм;Наружный диаметр трубы;BRAS;BRAS;Латунь
;;8M;Hy-Lok 8мм;Наружный диаметр трубы;STEL;STEL;Углеродистая сталь
;;10M;Hy-Lok 10мм;Наружный диаметр трубы;;;
;;12M;Hy-Lok 12мм;Наружный диаметр трубы;;;
;;14M;Hy-Lok 14мм;Наружный диаметр трубы;;;
;;16M;Hy-Lok 16мм;Наружный диаметр трубы;;;
;;18M;Hy-Lok 18мм;Наружный диаметр трубы;;;
;;20M;Hy-Lok 20мм;Наружный диаметр трубы;;;
;;25M;Hy-Lok 25мм;Наружный диаметр трубы;;;
