#,Заказной код,Размер,Параметр:Размер:Ниппель,Параметр:Размер:M,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,CAF,10M-M20,10mm,M20x1.5,-,S316,Нержавеющая сталь
,,12M-M20,12mm,M20x1.5,BRAS,BRAS,Латунь
,,,,,STEL,STEL,Углеродистая сталь
